position,docid,date,court,title
25,32395944,2016-09-19,Patna High Court,"State Health Society & Anr vs The State Of Bihar & Ors on 19 September, 2016"
26,196949,1984-03-06,Supreme Court of India,"Tarapore & Company vs Cochin Shipyard Ltd. Cochin & Anr on 6 March, 1984"
27,1545494,1973-11-12,Supreme Court of India,"Damodar Valley Corporation vs K. K. Kar on 12 November, 1973"
28,366376,1995-05-09,Supreme Court of India,"Gujarat Electricity Board,Thermal ... vs Hind Mazdoor Sabha & Ors on 9 May, 1995"
29,1391279,1959-05-21,Supreme Court of India,"The Union Of India vs Kishorilal Gupta And Bros on 21 May, 1959"
30,200767,2009-09-18,Supreme Court of India,"M/S. Magma Leasing & Fin. Ltd. & Anr vs Potluri Madhavilata & Anr on 18 September, 2009"
31,1986314,1962-05-04,Supreme Court of India,"Khardah Company Ltd vs Raymon & Co. (India) Private, Ltd on 4 May, 1962"
32,139205968,2013-10-04,Supreme Court of India,"Vishnu (D)By Lrs vs State Of Maharashtra & Ors on 4 October, 2013"
33,113283980,2017-05-05,Madhya Pradesh High Court,"Viva Highways Ltd. vs Madhya Pradesh Road Development ... on 5 May, 2017"
34,1829562,1989-08-09,Bombay High Court,"Union Of India vs M/S. Ajit Mehta And Associates, Pune And ... on 9 August, 1989"
35,102212981,2013-10-25,Supreme Court of India,"M/S. P. Dasaratharama Reddy Complex vs Government Of Karnataka & Anr on 25 October, 2013"
36,101695797,2009-04-17,Delhi High Court,"National Thermal Power Corporation ... vs Wig Brothers Builders And Engineers ... on 17 April, 2009"
37,134848983,2020-10-22,Delhi High Court,"Sanjiv Prakash vs Seema Kukreja & Ors. on 22 October, 2020"
38,1296574,1994-05-13,Supreme Court of India,"V.S. Achuthanandan vs R. Balakrishna Pillai on 13 May, 1994"
39,208447,1949-08-30,Calcutta High Court,"Dwarkadas And Co. vs Daluram Goganmull on 30 August, 1949"
40,999478,1968-09-25,Supreme Court of India,"Union Of India vs Salween Timber Construction (India) & ... on 25 September, 1968"
41,512470,1959-04-29,Calcutta High Court,"Serajuddin And Co. vs Michael Golodetz And Ors. on 29 April, 1959"
42,1884829,1959-01-15,Calcutta High Court,"Rungta Sons Private Ltd. vs Jugometal Trg. Republike And Anr. on 15 January, 1959"
43,1822304,1952-04-30,Patna High Court,"Pramada Prasad Mukharjee vs Sagarmal Agarwala And Ors. on 30 April, 1952"
44,409557,1957-11-20,Bombay High Court,"Middle East Trading Co. vs The New National Mills Ltd. on 20 November, 1957"
45,105346194,2014-10-17,Patna High Court - Orders,"M/S Nilkamal Ltd., Patna vs The State Of Bihar & Ors on 17 October, 2014"
46,1188971,1996-08-08,Bombay High Court,"Maharashtra General Kamgar Union vs Cipla Limited & Ors. on 8 August, 1996"
47,53085330,2018-10-03,Madhya Pradesh High Court,"Telecommunication Consultants India ... vs Madhya Pradesh Rural Road Development on 3 October, 2018"
48,164524722,2015-06-26,Madhya Pradesh High Court,"M/S Link Utsav Auto System Pvt. Ltd. vs The State Of Madhya Pradesh on 26 June, 2015"
49,1278220,2003-12-12,Bombay High Court,"Kelkar And Kelkar vs Indian Airlines And Anr. on 12 December, 2003"
50,1558387,1961-02-15,Calcutta High Court,"Union Of India (Uoi) vs B.C. Nawn (Bros) Pr. Ltd. on 15 February, 1961"
51,60626037,2019-02-13,Delhi High Court,"Samyak Projects Private Limited vs Ansal Housing & Construction Limited on 13 February, 2019"
52,1574487,1987-07-24,Kerala High Court,"Cochin Refineries Ltd. vs C.S. Company, Engineering ... on 24 July, 1987"
53,1981034,1929-06-25,Allahabad High Court,"Ram Din Hazari Lal vs Mansa Ram Murlidhar on 25 June, 1929"
54,37496707,2016-10-20,Patna High Court,"Sdb- Sps (Jv) vs Bihar Rajya Pul Nirman Nigam Ltd. & Ors on 20 October, 2016"
55,133756603,2011-12-08,Rajasthan High Court - Jaipur,"M/S Electrosteel Castings Pvt Ltd vs Rajasthan Urban Infratructure on 8 December, 2011"
56,93963916,2012-12-20,Bombay High Court,"Mulheim Pipecoatings Gmbh vs Welspun Fintrade Limited A Company on 20 December, 2012"
57,113467352,2013-08-20,Bombay High Court,"Garware Marine Industries Limited vs Integrated Finance Co. Ltd on 20 August, 2013"
58,1201444,1997-08-06,Madras High Court,"K. Ramakrishnan And Ors. vs Bharat Petroleum Corporation Ltd. And ... on 6 August, 1997"
59,1398678,1977-07-19,Calcutta High Court,"Alliance Jute Mills Co. Ltd. vs Lalchand Dharamchand And Anr. on 19 July, 1977"
60,1343338,2010-08-10,Bombay High Court,"Airports Authority Of India vs Indian Airport Kamgar Union & Ors on 10 August, 2010"
61,68666954,2017-08-23,Delhi High Court,"Ahuja Builders vs Doonvalley Technopolis Pvt. Ltd on 23 August, 2017"
62,997756,1957-07-01,Calcutta High Court,"Province Of West Bengal vs Mohan Lal Jain on 1 July, 1957"
63,1137167,2006-06-07,Himachal Pradesh High Court,"Satluj Jal Vidyut Nigam Ltd. vs Nathpa Jhakri Joint Venture on 7 June, 2006"
64,171443079,2024-07-18,Supreme Court of India,"Sbi General Insurance Co. Ltd vs Krish Spinning on 18 July, 2024"
65,172675707,2025-03-26,Gujarat High Court,"Kalptaru Projects International ... vs State Of Gujarat on 26 March, 2025"
66,78068029,2021-04-08,Delhi High Court,"Spml Infra Ltd vs Ntpc Limited on 8 April, 2021"
67,696293,1996-08-08,Bombay High Court,"Maharashtra General Kamgar Union vs Cipla Limited And Ors. on 8 August, 1996"
68,190593473,2020-11-18,Orissa High Court,"Afr M/S. Jasoda Roadlines And Another vs Orissa State Warehousing Corporation on 18 November, 2020"
69,14911754,2024-04-24,Delhi High Court,"Larsen And Toubro Limited vs Ireo Victory Valley Private Limited on 24 April, 2024"
70,153014637,2025-04-09,Delhi High Court,"Zhuhai Hansen Technology Co Ltd vs Aksh Optifibre Limited And Ors on 9 April, 2025"
71,98426680,2025-01-28,Madras High Court,"M/S.The Indian Hume Pipe Co vs The Managing Director on 28 January, 2025"
72,50300849,2023-02-23,Karnataka High Court,"The Mysore Electrical Industries ... vs Engineering & General Workers Union on 23 February, 2023"
73,23921490,2022-07-21,Jharkhand High Court,"Institute Of Continuing Education vs The State Of Jharkhand on 21 July, 2022"
74,96544358,2020-11-06,Bombay High Court,"Mep Rgsl Toll Bridge Pvt.Ltd vs Maharashtra State Road Development ... on 6 November, 2020"
75,189648661,2011-12-08,Rajasthan High Court - Jaipur,"M/S Electrosteel Casting Ltd vs Rajasthan Urban Infrastructure on 8 December, 2011"
76,150390969,2025-01-28,Madras High Court,"M/S.The Indian Hume Pipe Co vs . on 28 January, 2025"
77,1072590,1980-07-11,Allahabad High Court,"Indian Explosives Limited vs State Of U.P. And Ors. on 11 July, 1980"
78,1584296,1970-04-02,Delhi High Court,"Modi Industries Limited vs The Union Of India And Anr. on 2 April, 1970"
79,121448722,2015-12-02,Kerala High Court,"Balachandran Nair S.S vs Indian Space Research Organisation on 2 December, 2015"
80,153681717,2023-02-01,Delhi High Court,"University Of Delhi vs M/S Kalra Electricals on 1 February, 2023"
81,1190504,2010-07-22,Madras High Court,"Power Grid Corporation Of India Ltd vs S & S Power Switchgear Ltd on 22 July, 2010"
82,36381517,2023-08-24,Gujarat High Court,"Sardar Sarovar Narmada Nigam Limited vs Sadbhav Engineering Limited on 24 August, 2023"
83,123066867,2018-02-27,Delhi District Court,"Brg Energy Systems Limited vs Indian Council Of Arbitration on 27 February, 2018"
84,47512487,2023-11-10,Delhi District Court,"Ms Satish Builders vs Union Of India Ors on 10 November, 2023"
85,919241,2003-04-17,Supreme Court of India,"Oil & Natural Gas Corporation Ltd vs Saw Pipes Ltd on 17 April, 2003"
86,996348,2006-05-12,Supreme Court of India,"Mcdermott International Inc vs Burn Standard Co. Ltd. & Ors on 12 May, 2006"
87,1943124,2003-12-18,Supreme Court of India,"Abl International Ltd. & Anr vs Export Credit Guarantee Corportion Of ... on 18 December, 2003"
88,997135,1989-03-13,Supreme Court of India,"A.B.C. Laminart Pvt. Ltd. & Anr vs A.P. Agencies, Salem on 13 March, 1989"
89,1777887,1998-02-04,Supreme Court of India,"K.K. Modi vs K.N. Modi & Ors on 4 February, 1998"
90,95111828,2019-05-08,Supreme Court of India,"Ssangyong Engineering And ... vs National Highways Authority Of ... on 8 May, 2019"
91,588099,1989-02-14,Supreme Court of India,"Sudarsan Trading Co vs Govt. Of Kerala & Anr on 14 February, 1989"
92,1430059,1994-03-17,Supreme Court of India,"K. Sasidharan vs Kerala State Film Development Corpn on 17 March, 1994"
93,329587,1987-11-19,Supreme Court of India,"U.P. Co-Operative Federation Ltd vs Singh Consultants & Engineers (P) Ltd on 19 November, 1987"
94,372465,1965-09-10,Supreme Court of India,"A. K. Gupta And Sons vs Damodar Valley Corporation on 10 September, 1965"
95,461988,1974-03-12,Supreme Court of India,"Union Of India vs Raman Iron Foundry on 12 March, 1974"
96,662824,1999-09-20,Supreme Court of India,"Rajasthan State Mines & Minerals ... vs Eastern Engineering Enterprises & Anr on 20 September, 1999"
97,92712826,2012-09-28,Supreme Court of India,"Chloro Controls(I) P.Ltd vs Severn Trent Water Purification Inc ... on 28 September, 2012"
98,318186,1955-03-24,Supreme Court of India,"Seth Thawardas Pherumal vs The Union Of India(And Connected ... on 24 March, 1955"
99,1652410,1960-04-27,Supreme Court of India,"The Printers (Mysore) Private Ltd vs Pothan Joseph on 27 April, 1960"
100,158187,2005-04-05,Supreme Court of India,"Bhagawati Oxygen Ltd vs Hindustan Coper Ltd on 5 April, 2005"
101,23112747,2013-07-03,Supreme Court of India,"M/S Swastik Gases P.Ltd vs Indian Oil Corp.Ltd on 3 July, 2013"
102,1965204,1981-12-15,Supreme Court of India,"Sardar Govindrao Mahadik & Anr vs Devi Sahai & Ors on 15 December, 1981"
103,1983009,1999-10-07,Supreme Court of India,"Thyssen Stahlunion Gmbh Etc vs Steel Authority Of India Ltd on 7 October, 1999"
104,1160961,2006-09-26,Supreme Court of India,"Steel Authority Of India Ltd vs Union Of India & Ors on 26 September, 2006"
105,1579938,2004-01-05,Supreme Court of India,"Chairman & M.D., N.T.P.C. Ltd vs M/S. Reshmi Constructions, Builders & ... on 5 January, 2004"
106,752687,1953-11-18,Supreme Court of India,"Lala Durga Prasad And Another vs Lala Deep Chand And Others on 18 November, 1953"
107,899629,2008-04-15,Supreme Court of India,"Kisan Sahkari Chini Mills Ltd. & Ors vs Vardan Linkers & Ors on 15 April, 2008"
108,146487961,2014-02-14,Supreme Court of India,"Enercon (India) Ltd And Ors vs Enercon Gmbh And Anr on 14 February, 2014"
109,144538253,2009-04-13,Supreme Court of India,"International Airport Authority Of ... vs International Air Cargo Workers' ... on 13 April, 2009"
110,64556,1995-12-15,Supreme Court of India,"State Of Orissa And Anr vs Damodar Das on 15 December, 1995"
111,27844805,2014-04-21,Supreme Court of India,"Rishi Kiran Logistics P.Ltd vs Board Of Trus. Of Kandla Port Trust&Ors; on 21 April, 2014"
112,1917378,2011-09-13,Supreme Court of India,"M/S.Cauvery Coffee Traders,Mangalore vs M/S.Hornor Resources (Intern.)Co.Ltd on 13 September, 2011"
113,231341,2004-04-05,Supreme Court of India,"National Textile Corpn. Ltd. & Ors vs M/S Haribox Swalram & Ors on 5 April, 2004"
114,1979603,1980-10-22,Supreme Court of India,"Smt. Rukmanibai Gupta vs Collector Jabalpur And Ors. on 22 October, 1980"
115,1076013,1982-08-06,Supreme Court of India,"Food Corporation Of India & Anr vs Yadav Engineer & Contractor on 6 August, 1982"
116,63871350,2019-03-29,Supreme Court of India,"Union Of India vs Parmar Construction Company on 29 March, 2019"
117,187956,2006-08-08,Supreme Court of India,"Rashtriya Ispat Nigam Limited & Anr vs M/S Verma Transport Company on 8 August, 2006"
118,529896,1999-04-15,Supreme Court of India,"Himachal Pradesh State Electricity ... vs R.J. Shah And Company on 15 April, 1999"
119,156247141,2014-05-23,Supreme Court of India,"Reliance Industries Limited & Anr vs Union Of India on 23 May, 2014"
120,228570,1964-05-04,Supreme Court of India,"Waverly Jute Mills Co. Ltd vs Raymon & Co. (India) Private Ltd.(And ... on 4 May, 1964"
121,1047535,1971-10-05,Supreme Court of India,"Commissioner Of Income Tax, Gujarat vs M/S. S. C. Kothari on 5 October, 1971"
122,1734620,1960-12-12,Supreme Court of India,"Shri Ambica Mills Co., Ltd vs Shri S. B. Bhatt And Another on 12 December, 1960"
123,1682326,2011-04-25,Supreme Court of India,"Union Of India & Ors vs M/S. Master Construction Co on 25 April, 2011"
124,1580383,2010-11-16,Supreme Court of India,"Alva Aluminium Ltd.Bangkok vs Gabriel India Limited on 16 November, 2010"
125,171214938,2014-12-16,Supreme Court - Daily Orders,"M/S Govind Rubber Ltd. vs M/S Louids Dreyfus Commodities Asia ... on 16 December, 2014"
126,876875,1964-02-27,Supreme Court of India,"M/S. Dhanrajamal Gobindram vs M/S. Shamji Kalidas And Co on 27 February, 1964"
127,666157,2009-04-13,Supreme Court of India,"Sarva Shramik Sangh vs Indian Oil Corporation Ltd.& Ors on 13 April, 2009"
128,633834,2006-08-08,Supreme Court of India,"Rashtriya Ispat Nigam Limited & Anr vs M/S Verma Transport Company on 8 August, 2006"
129,391413,2007-03-02,Supreme Court of India,"Jatinder Nath vs M/S Chopra Land Developers Pvt. Ltd. & ... on 2 March, 2007"
130,637780,2007-07-18,Delhi High Court,"Pandit Construction Company vs Delhi Development Authority And Anr. on 18 July, 2007"
131,1693099,2010-02-09,Delhi High Court,"National Textile Corporation Ltd.& ... vs Ashval Vaderaa on 9 February, 2010"
132,125036411,2022-11-16,Supreme Court of India,"M.P. Power Management Company Limited vs M/S Sky Power Southeast Solar India ... on 16 November, 2022"
133,169822801,2022-07-20,Supreme Court of India,"Indian Oil Corporation Limited vs Ncc Limited on 20 July, 2022"
134,169405928,2015-03-10,Supreme Court of India,"Harmony Innovation Shipping Ltd vs Gupta Coal India Ltd. And Anr on 10 March, 2015"
135,189907,1969-10-28,Supreme Court of India,"V/O Tractor Export, Moscow vs M/S. Tarapore & Company & Anr on 28 October, 1969"
136,899528,2005-03-29,Supreme Court of India,"Shree Subhlaxmi Fabrics Pvt. Ltd vs Chand Mal Baradia And Others on 29 March, 2005"
137,106024089,2018-09-11,Supreme Court of India,"M/A Psa Mumbai Investments Pte. Limited vs The Board Of Trustees Of The Jawaharlal ... on 11 September, 2018"
138,151593616,2018-01-05,Supreme Court of India,"M/S. Inox Wind Ltd. vs M/S. Thermocables Ltd. on 5 January, 2018"
139,1850352,2011-07-04,Supreme Court of India,"State Of Orissa & Ors vs Bhagyadhar Dash on 4 July, 2011"
140,581612,2007-03-21,Supreme Court of India,"M/S.Shree Ram Mills Ltd vs M/S.Utility Premises (P) Ltd on 21 March, 2007"
141,1507906,2007-05-11,Supreme Court of India,"M/S. Gas Authority Of India Ltd. And Anr vs M/S. Keti Construction (I) Ltd. And Ors on 11 May, 2007"
142,1391503,1997-02-18,Supreme Court of India,"Tamilnadu Electricity Board vs M/S. Bridge Tunnel Constructions & Ors on 18 February, 1997"
143,936043,2003-11-05,Supreme Court of India,"Mallikarjun vs Gulbarga University on 5 November, 2003"
144,1475714,1951-11-01,Supreme Court of India,"Anderson Wright Ltd vs Moran And Company on 1 November, 1951"
145,354758,1953-02-03,Supreme Court of India,"Gaya Electric Supply Co., Ltd vs The-State Of Bihar on 3 February, 1953"
146,128928789,2021-01-20,Supreme Court of India,"Haryana Space Application Centre ... vs M/S Pan India Consultants Pvt. Ltd. on 20 January, 2021"
147,72573735,2018-02-07,Supreme Court of India,"M/S. Ongc Mangalore Petrochemicals ... vs M/S. Ans Constructions Limited on 7 February, 2018"
148,777307,1960-04-06,Supreme Court of India,"The Standard-Vacuum Refining Co.Of ... vs Its Workmen And Others on 6 April, 1960"
149,75782241,2022-01-11,Supreme Court of India,"Haryana Tourism Limited vs M/S Kandhari Beverages Limited on 11 January, 2022"
150,190370690,2013-08-22,Supreme Court of India,"M/S Young Achievers vs Ims Learning Resources Pvt.Ltd on 22 August, 2013"
151,1041073,1950-11-30,Supreme Court of India,"A.M. Mair & Co vs Gordhandass Sagarmull on 30 November, 1950"
152,14691014,2000-08-02,Andhra HC (Pre-Telangana),"Sri Rama Engineering Constructions ... vs Govt. Of Andhra Pradesh And Others on 2 August, 2000"
153,88916123,2018-03-22,Delhi High Court,"North Delhi Municipal Corporation vs Vipin Gupta on 22 March, 2018"
154,145878277,2016-06-30,Madhya Pradesh High Court,"M/S Pragat Akshay Urja Limited ... vs The State Of Madhya Pradesh on 30 June, 2016"
155,1195777,1978-08-11,Delhi High Court,"Pearl Hosiery Mills, Ludhiana vs Union Of India And Anr. on 11 August, 1978"
156,807022,2008-02-15,Bombay High Court,"Mumbai Metropolitan Region ... vs Unity Infraproject Ltd. on 15 February, 2008"
157,158014472,2014-09-03,Delhi High Court,"Consortium Of Deepak Cable India ... vs Teestavalley Power Transmission ... on 3 September, 2014"
158,746307,2007-12-28,Delhi High Court,"Alcove Industries Ltd. vs Oriental Structural Engineers Ltd. on 28 December, 2007"
159,353934,1993-11-12,Bombay High Court,"Oil And Natural Gas Commission vs Offshore Enterprises Inc. on 12 November, 1993"
160,614598,2006-01-12,Delhi High Court,"Continental Construction Ltd. And Anr. vs Satluj Jal Vidyut Nigam Ltd. on 12 January, 2006"
161,176013178,2011-09-21,Madras High Court,"M/S. Sai Sri Saraswathy Construction vs Ariyakudi Kasi Viswanathan on 21 September, 2011"
162,165374436,2016-12-23,Bombay High Court,"The Board Of Trustees Of The Port Of ... vs Afcons Infrastructure Limited on 23 December, 2016"
163,1153646,2005-06-22,Karnataka High Court,"Uttar Pradesh State Bridge ... vs Bangalore Development Authority And ... on 22 June, 2005"
164,161329301,2009-05-26,Delhi High Court,"M/S. Chander Kant & Co. vs The Vice Chairman, Dda & Ors. on 26 May, 2009"
165,462941,1971-09-10,Supreme Court of India,"Vegoils Private Lemited vs The Workmen on 10 September, 1971"
166,225960,2011-02-10,Supreme Court of India,"V.S. Achuthanandan vs R. Balakrishna Pillai & Ors on 10 February, 2011"
167,74498,1962-05-04,Supreme Court of India,"Waverly Jute Mills Co. Ltd vs Raymon & Company (India) Pvt. Ltd on 4 May, 1962"
168,90059387,2021-12-16,Supreme Court of India,"Mahindra And Mahindra Financial ... vs Maheshbhai Tinabhai Rathod on 16 December, 2021"
169,1591814,2008-08-01,Supreme Court of India,"Gulbarga University vs Mallikarjun S. Kodagali & Anr on 1 August, 2008"
170,179903493,2019-11-13,Supreme Court of India,"The Oriental Insurance Co. Ltd. vs Dicitex Furnishing Ltd. on 13 November, 2019"
171,100785689,2016-07-13,Supreme Court of India,"M/S.Northern Coalfields Ltd vs Heavy Engineering Corp.Ltd. & Anr on 13 July, 2016"
172,1075328,1989-03-31,Supreme Court of India,"Jammu & Kashmir State Forest ... vs Abdul Karim Wani on 31 March, 1989"
173,71504258,2010-01-22,Supreme Court of India,"Bharat Sanchar Nigam Ltd vs Telephone Cables Ltd on 22 January, 2010"
174,1105893,2006-08-02,Supreme Court of India,"Kerala State Science & Technology ... vs Rambal Company & Ors on 2 August, 2006"
175,1272019,2001-08-20,Supreme Court of India,"The Owners & Parties Interested In The ... vs State Of Trading Corportion Of India ... on 20 August, 2001"
176,846676,1962-12-12,Supreme Court of India,"Michael Golodetz And Others vs Serajuddin & Company on 12 December, 1962"
177,1048265,1954-11-01,Supreme Court of India,"Anderson Wright Ltd. vs Moran And Company on 1 November, 1954"
178,1643159,1999-09-01,Supreme Court of India,"M/S Atlas Export Industries vs M/S Kotak & Company on 1 September, 1999"
179,1490639,1960-03-08,Supreme Court of India,"M/S. U. P. Electric Supply Co., Ltd vs The Workmen Of M/S. S. N. ... on 8 March, 1960"
180,294263,1986-01-09,Supreme Court of India,"Alimenta S.A. vs National Agricultural Co-Operative ... on 9 January, 1986"
181,20910401,2015-04-30,Delhi High Court,"Puri Construction P. Ltd. And Ors. vs Larsen And Toubro Ltd. And Anr. on 30 April, 2015"
182,100838,2003-04-04,Allahabad High Court,"Kamlesh Rai vs Presiding Officer, Labour Court And ... on 4 April, 2003"
183,188979765,2020-09-30,Delhi High Court,"Crsc Research And Design Institute ... vs Dedicated Freight Corridor ... on 30 September, 2020"
184,118412341,2018-03-22,Delhi High Court,"North Delhi Municipal Corporation And ... vs Sanjeev Kumar on 22 March, 2018"
185,130770111,2013-02-19,Delhi High Court,"The Management Of Ashok Hotel vs Their Workman & Anr on 19 February, 2013"
186,1451377,1984-05-21,Delhi High Court,"Shah Construction Co. Ltd. vs Municipal Corporation Of Delhi on 21 May, 1984"
187,399721,1988-07-15,Kerala High Court,"K. Abdul Rahiman And Ors. vs Divisional Forest Officer And Anr. on 15 July, 1988"
188,126925376,2017-09-18,Delhi High Court,"Bharat Heavy Electricals Limited vs The Micro And Small Enterprises ... on 18 September, 2017"
189,119414320,2012-09-17,Madhya Pradesh High Court,"Sanjay Dubey vs The State Of M.P. & Anr on 17 September, 2012"
190,39503829,2015-01-09,Madhya Pradesh High Court,"M/S Dilip Buildcon Pvt. Ltd. vs Principal Secretary The State Of Madhya ... on 9 January, 2015"
191,1015093,1993-10-28,Rajasthan High Court - Jaipur,"Commissioner Of Income-Tax vs Aditya Mills Ltd. on 28 October, 1993"
192,787550,2006-03-17,Delhi High Court,"Satluj Jal Vidyut Nigam Ltd. vs Jai Prakash Hyundai Corsortium on 17 March, 2006"
193,587393,1966-03-04,Punjab-Haryana High Court,"Ram Lal Jagan Nath vs Punjab State Through Collector And Anr. on 4 March, 1966"
194,1647325,1947-02-07,Calcutta High Court,"Governor-General In Council vs Associated Live-Stock Farm (India) ... on 7 February, 1947"
195,1647074,1978-04-05,Madras High Court,"Salem Chemical Industries, A ... vs Bird And Co. (P) Ltd., Calcutta on 5 April, 1978"
196,1611591,2006-09-01,Delhi High Court,"Newsprint Sales Corporation vs The Daily Pratap And Ors. on 1 September, 2006"
197,611946,2005-10-06,Gujarat High Court,"State Of Gujarat And Anr. vs Ajay S. Patel, Engineers, Contractors ... on 6 October, 2005"
198,578559,1953-12-10,Calcutta High Court,"Nandram Hanutram vs Raghunath And Sons Ltd. on 10 December, 1953"
199,680370,1919-01-15,Calcutta High Court,"Arbitration Between Uttam Chand ... vs Mahmood Jewa Mamooji on 15 January, 1919"
200,189632,1994-07-20,Delhi High Court,"M/S. R.S. Builders vs Delhi Development Authority on 20 July, 1994"
201,1546293,1993-07-30,Supreme Court of India,"M/S. Chahal Engineering & Construction ... vs Irrigation Department, Punjab, Sirsa on 30 July, 1993"
202,76991252,2009-12-11,Delhi High Court,"Fuerst Day Lawson Ltd vs Jindal Exports Ltd. on 11 December, 2009"
203,188394092,2016-07-20,Bombay High Court,"Dlf Power Ltd vs Manglore Refinery And Petrochemicals ... on 20 July, 2016"
204,989870,2008-04-28,Delhi High Court,"National Highways Authority Of India vs Elsamex-Tws-Snc Joint Venture on 28 April, 2008"
205,662058,1972-05-05,Gujarat High Court,"R.C. Thakkar vs (The Bombay Housing Board By Its ... on 5 May, 1972"
206,79928496,2021-04-20,Supreme Court of India,"Pasl Wind Solutions Private Limited vs Ge Power Conversion India Private ... on 20 April, 2021"
207,177527546,2020-01-08,Supreme Court of India,"The State Of Gujarat Through Chief ... vs Amber Builders on 8 January, 2020"
208,129388780,2019-07-05,Supreme Court of India,"The Director, Steel Authority Of India ... vs Ispat Khadan Janta Mazdoor Union on 5 July, 2019"
209,910697,1977-11-24,Supreme Court of India,"Juggilal Kamlapat vs Pratapmal Rameshwar on 24 November, 1977"
210,712670,2007-02-07,Gauhati High Court,"Abdul Kasem Ali Ahmed vs State Of Assam And Ors. on 7 February, 2007"
211,19838,2003-09-18,Gujarat High Court,"Steel Authority Of India Ltd. vs Gujarat Mazdoor Panchayat And Anr. on 18 September, 2003"
212,512291,1986-04-25,Karnataka High Court,"Fci Loading And Unloading Workers Union vs Food Corporation Of India on 25 April, 1986"
213,164131190,2013-10-23,Madras High Court,"The Madras Race Club vs M.Victor on 23 October, 2013"
214,406702,1968-04-04,Allahabad High Court,"Rajendra Prasad Oil Mills, Kanpur And ... vs Smt. Chunni Devi And Ors. on 4 April, 1968"
215,55052,1957-09-25,Allahabad High Court,"J.K. Jute Mills Co. Ltd. vs Firm Birdhichand Sumermal on 25 September, 1957"
216,115973945,2016-04-29,Delhi High Court,"Assignia-Vil Jv vs Rail Vikas Nigam Limited on 29 April, 2016"
217,77177,2006-07-04,Calcutta High Court,"Saraswat Trading Agency And Anr. vs Union Of India (Uoi) And Ors. on 4 July, 2006"
218,51189993,2013-04-10,Delhi High Court,"Wishwa Mittar Bajaj & Sons vs Uoi on 10 April, 2013"
219,1426273,1998-09-02,Madras High Court,"Multichannel (India) Limited, Rep. By ... vs Kavitalaya Productions Pvt., Limited, ... on 2 September, 1998"
